,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
1411,1411,April 22,Doctor My Eyes,Jackson Browne,8,May 6,3,3QcuZo6WLcFkqqLmDs0d95
1412,1412,April 29,Look What You Done for Me,Al Green,4,May 27,6,0ZhwlFI7I69yaXphO7t5R8
1413,1413,May 6,I'll Take You There,The Staple Singers,1,June 3,8,5YLnfy7R2kueN0BRPkjiEG
1414,1414,May 6,Back Off Boogaloo,Ringo Starr,9,May 13,3,25Cv6pteVL6Wm4GIvPCFnO
1415,1415,May 13,Oh Girl,The Chi-Lites,1,May 27,7,0cFlXjTxFdMGGPfLVpt3Wv
1416,1416,May 20,Morning Has Broken,Cat Stevens,6,May 27,4,5y8d8RHvxb0KiTa9Nq0xWp
1417,1417,May 20,Tumbling Dice,The Rolling Stones,7,May 27,3,4hq0S6wznq7SHDyMOFXL9i
1418,1418,May 27,The Candy Man,Sammy Davis Jr.,1,June 10,7,5X3XrHlCFVGqNKpGp85xVC
1419,1419,May 27,Sylvia's Mother,Dr. Hook & the Medicine Show,5,June 3,4,4hLk7Bjz1XJWNDiqovvgBW
1420,1420,May 27,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,9,June 3,2,2sZjmnS1BSoc1svOu5P8LM
1421,1421,June 3,Nice to Be with You,Gallery,4,June 24,5,17rMZ3L3ovX8raoaqA8ncX
1422,1422,June 10,Song Sung Blue,Neil Diamond,1,July 1,6,57KfogSy3eKuk5JHLKwCJv
1423,1423,June 10,Outa-Space,Billy Preston,2,July 8,6,17KFO56mkVEKR0v8qOPlkU
1424,1424,June 10,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,8,June 17,3,6HH6fmHF2YssfVkRmzcjf0
1425,1425,June 17,Lean on Me,Bill Withers,1,July 8,7,3M8FzayQWtkvOhqMn2V4T2
1426,1426,June 17,Troglodyte (Cave Man),The Jimmy Castor Bunch,6,June 24,4,08L6jFH2p1NfDXX4suPvp2
1427,1427,June 24,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose,2,July 15,8,2OyaNAq8BcGstyzueloqpE
1428,1428,July 1,Daddy Don't You Walk So Fast,Wayne Newton,4,August 5,8,3QCATKyR7mzqvQB750qNxs
1429,1429,July 1,Rocket Man,Elton John,6,July 15,4,3gdewACMIVMEWVbyb8O9sY
1430,1430,July 1,I Need You,America,9,July 1,2,4Anh5Ti55P6SXG3H94QLqV
1431,1431,July 8,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,3,August 5,8,54K7o2yNOMZYCtEDnfD6wI
1432,1432,July 15,Alone Again (Naturally),Gilbert O'Sullivan,1,July 29,11,6vuEG9sZtC4W2zT64f7zLF
1433,1433,July 15,Brandy (You're a Fine Girl),Looking Glass,1,August 26,10,2BY7ALEWdloFHgQZG6VMLA
1434,1434,July 15,Where Is the Love,Roberta Flack & Donny Hathaway,5,August 12,6,65ADTP6Q8mratfOIeKHp7e
1435,1435,July 22,School's Out,Alice Cooper,7,July 29,4,5Z8EDau8uNcP1E8JvmfkZe
1436,1436,July 22,How Do You Do,Mouth & MacNeal,8,July 22,4,4qgDCtaU8qTHK529Dt5AZ2
1437,1437,July 29,Long Cool Woman in a Black Dress,The Hollies,2,September 2,8,5UwbnHhjnbinJH8TefuQfN
1438,1438,August 5,Layla,Derek and the Dominos,10,August 5,1,2kkvB3RNRzwjFdGhaUA0tz
1439,1439,August 12,I'm Still in Love with You,Al Green,3,September 2,6,6SMHgPgNkhe9lneNTbgtel
1440,1440,August 19,Hold Your Head Up,Argent,5,August 26,3,3vfIv3pvYlLOa0wKIEuqFn
1441,1441,August 19,Goodbye to Love,The Carpenters,7,August 26,3,0pnfT3OLqlnIvO0uMYgCfM
1442,1442,August 19,Coconut,Nilsson,8,August 26,2,4o5GyaeGMgDsrclBsL3au7
1443,1443,August 26,"Baby, Don't Get Hooked on Me",Mac Davis,1,September 23,9,4z51Gf7Ppt9Lmu5zmnUIz9
1444,1444,August 26,You Don't Mess Around with Jim,Jim Croce,8,September 2,3,561F1zqRwGPCTMRsLsXVtL
1445,1445,September 2,Back Stabbers,The O'Jays,3,October 7,7,28285KFbyCq8sJofn58qlD
